epoch,accuracy,loss,val_accuracy,val_loss
0,0.16290470957756042,4.54368782043457,0.36382851004600525,2.601487874984741
1,0.6306812167167664,1.435944676399231,0.510869562625885,1.9656002521514893
2,0.8384230136871338,0.6152305006980896,0.5839372277259827,1.6409316062927246
3,0.9347359538078308,0.2823440432548523,0.5175120830535889,2.012479066848755
4,0.9626187086105347,0.1734754592180252,0.60326087474823,1.6177139282226562
5,0.9724236726760864,0.13906928896903992,0.6349637508392334,1.5815600156784058
6,0.9669083952903748,0.13703283667564392,0.6096014380455017,1.728164553642273
7,0.9722194075584412,0.12011849880218506,0.6500604152679443,1.5651750564575195
8,0.9813093543052673,0.08879664540290833,0.5667270421981812,2.132166624069214
9,0.9723215103149414,0.11174178868532181,0.6295289993286133,1.6828968524932861
10,0.9779389500617981,0.09345720708370209,0.6416062712669373,1.6358262300491333
11,0.9799816012382507,0.08704546093940735,0.6503623127937317,1.6130070686340332
12,0.9816157817840576,0.08172044903039932,0.6690821051597595,1.5408201217651367
13,0.9837605953216553,0.0611286461353302,0.6488526463508606,1.6472808122634888
14,0.9789602756500244,0.09172272682189941,0.5794082283973694,2.2172021865844727
15,0.9848840832710266,0.06773926317691803,0.6730072498321533,1.57254958152771
16,0.9836584329605103,0.06418658047914505,0.635869562625885,1.839340329170227
17,0.9836584329605103,0.06563376635313034,0.6446256041526794,1.7804359197616577
18,0.9832499027252197,0.06796539574861526,0.6642512083053589,1.7851108312606812
19,0.9807987213134766,0.06850245594978333,0.664553165435791,1.6483583450317383
20,0.9862118363380432,0.05878418684005737,0.6847826242446899,1.575977087020874
21,0.9852926135063171,0.05821802467107773,0.6733092069625854,1.6521257162094116
22,0.9867225289344788,0.05996420606970787,0.6902173757553101,1.5682202577590942
23,0.9842712879180908,0.06337963789701462,0.6742149591445923,1.6880087852478027
24,0.9839648604393005,0.05917157232761383,0.7028985619544983,1.5514081716537476
25,0.9863139390945435,0.05557188391685486,0.7004830837249756,1.588778018951416
26,0.9877438545227051,0.04997273162007332,0.7016907930374146,1.5718817710876465
27,0.9842712879180908,0.06050359457731247,0.6935386657714844,1.726054072380066
28,0.9874374270439148,0.050903208553791046,0.6835748553276062,1.7171735763549805
29,0.9871310591697693,0.04912261664867401,0.6760265827178955,1.7269500494003296
